# Boroson optical Fe template
# log10(wave)  flux (erg/s/cm2/A)
3.58190389  1.121007E-15
3.5820577889  1.105392E-15
3.5822116878  1.234618E-15
3.5823655867  1.427857E-15
3.5825194856  1.597409E-15
3.5826733845  1.682842E-15
3.5828272834  1.681555E-15
3.5829811823  1.650847E-15
3.5831350812  1.618731E-15
3.5832889801  1.599557E-15
3.583442879  1.574085E-15
3.5835967779  1.525302E-15
3.5837506768  1.448867E-15
3.5839045757  1.363467E-15
3.5840584746  1.303549E-15
3.5842123735  1.331261E-15
3.5843662724  1.490471E-15
3.5845201713  1.704452E-15
3.5846740702  1.903637E-15
3.5848279691  2.044608E-15
3.584981868  2.131849E-15
3.5851357669  2.204627E-15
3.5852896658  2.265112E-15
3.5854435647  2.310082E-15
3.5855974636  2.330743E-15
3.5857513625  2.330831E-15
3.5859052614  2.323474E-15
3.5860591603  2.377713E-15
3.5862130592  2.571962E-15
3.5863669581  2.797031E-15
3.586520857  2.953413E-15
3.5866747559  3.018672E-15
3.5868286548  2.937452E-15
3.5869825537  2.637697E-15
3.5871364526  2.252067E-15
3.5872903515  1.946274E-15
3.5874442504  1.720358E-15
3.5875981493  1.568332E-15
3.5877520482  1.481080E-15
3.5879059471  1.443341E-15
3.588059846  1.441782E-15
3.5882137449  1.432429E-15
3.5883676438  1.403897E-15
3.5885215427  1.445909E-15
3.5886754416  1.562041E-15
3.5888293405  1.674403E-15
3.5889832394  1.718239E-15
3.5891371383  1.649782E-15
3.5892910372  1.559219E-15
3.5894449361  1.471238E-15
3.589598835  1.294887E-15
3.5897527339  1.025721E-15
3.5899066328  7.115400E-16
3.5900605317  4.399486E-16
3.5902144306  2.855044E-16
3.5903683295  2.679488E-16
3.5905222284  3.700252E-16
3.5906761273  5.413918E-16
3.5908300262  7.099348E-16
3.5909839251  8.104870E-16
3.591137824  8.321092E-16
3.5912917229  7.855016E-16
3.5914456218  7.016064E-16
3.5915995207  6.189381E-16
3.5917534196  5.747399E-16
3.5919073185  5.742571E-16
3.5920612174  6.164321E-16
3.5922151163  7.048268E-16
3.5923690152  7.946225E-16
3.5925229141  8.121717E-16
3.592676813  7.765785E-16
3.5928307119  7.167831E-16
3.5929846108  6.281585E-16
3.5931385097  5.143579E-16
3.5932924086  3.850998E-16
3.5934463075  2.853765E-16
3.5936002064  2.663771E-16
3.5937541053  3.735255E-16
3.5939080042  5.951898E-16
3.5940619031  8.526760E-16
3.594215802  1.054382E-15
3.5943697009  1.121040E-15
3.5945235998  1.138663E-15
3.5946774987  1.170461E-15
3.5948313976  1.206383E-15
3.5949852965  1.246144E-15
3.5951391954  1.288968E-15
3.5952930943  1.291814E-15
3.5954469932  1.224343E-15
3.5956008921  1.086674E-15
3.595754791  9.445888E-16
3.5959086899  9.078720E-16
3.5960625888  9.292761E-16
3.5962164877  9.424674E-16
3.5963703866  9.364835E-16
3.5965242855  9.105101E-16
3.5966781844  8.795269E-16
3.5968320833  8.473130E-16
3.5969859822  8.225034E-16
3.5971398811  8.423151E-16
3.59729378  9.261688E-16
3.5974476789  1.075009E-15
3.5976015778  1.216195E-15
3.5977554767  1.276488E-15
3.5979093756  1.336276E-15
3.5980632745  1.424236E-15
3.5982171734  1.495146E-15
3.5983710723  1.507197E-15
3.5985249712  1.428841E-15
3.5986788701  1.305622E-15
3.598832769  1.163289E-15
3.5989866679  9.874677E-16
3.5991405668  8.058054E-16
3.5992944657  6.590680E-16
3.5994483646  5.555733E-16
3.5996022635  4.953412E-16
3.5997561624  4.771897E-16
3.5999100613  4.371348E-16
3.6000639602  2.983137E-16
3.6002178591  1.943480E-16
3.600371758  1.977548E-16
3.6005256569  2.634041E-16
3.6006795558  3.092086E-16
3.6008334547  2.450959E-16
3.6009873536  1.775827E-16
3.6011412525  1.681323E-16
3.6012951514  1.782345E-16
3.6014490503  1.835276E-16
3.6016029492  1.677440E-16
3.6017568481  2.107436E-16
3.601910747  3.379137E-16
3.6020646459  4.809132E-16
3.6022185448  5.633041E-16
3.6023724437  5.203100E-16
3.6025263426  4.338550E-16
3.6026802415  3.615625E-16
3.6028341404  2.917754E-16
3.6029880393  2.794215E-16
3.6031419382  3.858143E-16
3.6032958371  5.152727E-16
3.603449736  5.935440E-16
3.6036036349  5.949700E-16
3.6037575338  5.592722E-16
3.6039114327  5.494293E-16
3.6040653316  5.342657E-16
3.6042192305  5.169469E-16
3.6043731294  5.459925E-16
3.6045270283  6.226667E-16
3.6046809272  7.197079E-16
3.6048348261  7.602452E-16
3.604988725  7.139193E-16
3.6051426239  6.093615E-16
3.6052965228  5.116453E-16
3.6054504217  4.779960E-16
3.6056043206  4.853606E-16
3.6057582195  5.071352E-16
3.6059121184  5.191758E-16
3.6060660173  5.029369E-16
3.6062199162  4.547386E-16
3.6063738151  3.972768E-16
3.606527714  3.606515E-16
3.6066816129  3.753560E-16
3.6068355118  4.029252E-16
3.6069894107  4.099755E-16
3.6071433096  4.038324E-16
3.6072972085  4.095316E-16
3.6074511074  4.569181E-16
3.6076050063  5.773572E-16
3.6077589052  7.229381E-16
3.6079128041  7.077851E-16
3.608066703  6.154763E-16
3.6082206019  6.349195E-16
3.6083745008  6.608226E-16
3.6085283997  6.672800E-16
3.6086822986  7.393832E-16
3.6088361975  8.887299E-16
3.6089900964  1.088876E-15
3.6091439953  1.273980E-15
3.6092978942  1.382606E-15
3.6094517931  1.370982E-15
3.609605692  1.274204E-15
3.6097595909  1.145706E-15
3.6099134898  1.018656E-15
3.6100673887  9.213661E-16
3.6102212876  8.712472E-16
3.6103751865  8.322837E-16
3.6105290854  7.822113E-16
3.6106829843  7.315503E-16
3.6108368832  7.328534E-16
3.6109907821  8.372490E-16
3.611144681  9.718518E-16
3.6112985799  1.079960E-15
3.6114524788  1.135979E-15
3.6116063777  1.184267E-15
3.6117602766  1.271846E-15
3.6119141755  1.376548E-15
3.6120680744  1.480363E-15
3.6122219733  1.570245E-15
3.6123758722  1.618091E-15
3.6125297711  1.625520E-15
3.61268367  1.652540E-15
3.6128375689  1.666347E-15
3.6129914678  1.599427E-15
3.6131453667  1.451450E-15
3.6132992656  1.253692E-15
3.6134531645  1.068192E-15
3.6136070634  9.398861E-16
3.6137609623  8.932688E-16
3.6139148612  9.272382E-16
3.6140687601  9.836438E-16
3.614222659  9.760806E-16
3.6143765579  9.216723E-16
3.6145304568  8.654480E-16
3.6146843557  8.714716E-16
3.6148382546  9.418101E-16
3.6149921535  1.042853E-15
3.6151460524  1.124288E-15
3.6152999513  1.162981E-15
3.6154538502  1.166234E-15
3.6156077491  1.154622E-15
3.615761648  1.128631E-15
3.6159155469  1.039883E-15
3.6160694458  8.851779E-16
3.6162233447  6.952985E-16
3.6163772436  5.549833E-16
3.6165311425  4.977806E-16
3.6166850414  4.921415E-16
3.6168389403  4.864092E-16
3.6169928392  4.490326E-16
3.6171467381  4.173836E-16
3.617300637  4.077711E-16
3.6174545359  4.191137E-16
3.6176084348  4.290587E-16
3.6177623337  4.208976E-16
3.6179162326  3.919062E-16
3.6180701315  3.395350E-16
3.6182240304  2.777769E-16
3.6183779293  2.632995E-16
3.6185318282  2.904469E-16
3.6186857271  3.147093E-16
3.618839626  3.628012E-16
3.6189935249  4.496654E-16
3.6191474238  5.740192E-16
3.6193013227  6.715225E-16
3.6194552216  7.022114E-16
3.6196091205  7.446061E-16
3.6197630194  8.345257E-16
3.6199169183  9.743052E-16
3.6200708172  1.171867E-15
3.6202247161  1.406780E-15
3.620378615  1.642786E-15
3.6205325139  1.819277E-15
3.6206864128  1.907897E-15
3.6208403117  1.979908E-15
3.6209942106  1.970330E-15
3.6211481095  1.771835E-15
3.6213020084  1.471301E-15
3.6214559073  1.162377E-15
3.6216098062  9.124144E-16
3.6217637051  7.541783E-16
3.621917604  6.831398E-16
3.6220715029  6.613137E-16
3.6222254018  6.594398E-16
3.6223793007  6.440116E-16
3.6225331996  5.517882E-16
3.6226870985  4.234844E-16
3.6228409974  3.803582E-16
3.6229948963  3.653986E-16
3.6231487952  3.368391E-16
3.6233026941  3.227992E-16
3.623456593  3.381869E-16
3.6236104919  3.855599E-16
3.6237643908  4.105015E-16
3.6239182897  4.018614E-16
3.6240721886  3.817025E-16
3.6242260875  3.330223E-16
3.6243799864  2.719187E-16
3.6245338853  2.476844E-16
3.6246877842  2.296361E-16
3.6248416831  1.986564E-16
3.624995582  1.879820E-16
3.6251494809  2.223458E-16
3.6253033798  3.147812E-16
3.6254572787  4.138362E-16
3.6256111776  5.156957E-16
3.6257650765  6.718238E-16
3.6259189754  8.584082E-16
3.6260728743  1.063924E-15
3.6262267732  1.287769E-15
3.6263806721  1.505503E-15
3.626534571  1.679734E-15
3.6266884699  1.774403E-15
3.6268423688  1.746587E-15
3.6269962677  1.583251E-15
3.6271501666  1.442778E-15
3.6273040655  1.429540E-15
3.6274579644  1.555193E-15
3.6276118633  1.705254E-15
3.6277657622  1.773601E-15
3.6279196611  1.694555E-15
3.62807356  1.486680E-15
3.6282274589  1.222160E-15
3.6283813578  1.016551E-15
3.6285352567  9.036226E-16
3.6286891556  8.730804E-16
3.6288430545  8.996481E-16
3.6289969534  9.371375E-16
3.6291508523  9.267589E-16
3.6293047512  8.775457E-16
3.6294586501  8.258192E-16
3.629612549  8.235899E-16
3.6297664479  8.303719E-16
3.6299203468  8.066989E-16
3.6300742457  7.900995E-16
3.6302281446  8.268725E-16
3.6303820435  9.530895E-16
3.6305359424  1.127260E-15
3.6306898413  1.293961E-15
3.6308437402  1.410113E-15
3.6309976391  1.473664E-15
3.631151538  1.496510E-15
3.6313054369  1.473093E-15
3.6314593358  1.403737E-15
3.6316132347  1.331254E-15
3.6317671336  1.334601E-15
3.6319210325  1.462267E-15
3.6320749314  1.674184E-15
3.6322288303  1.798842E-15
3.6323827292  1.803522E-15
3.6325366281  1.745736E-15
3.632690527  1.724267E-15
3.6328444259  1.761625E-15
3.6329983248  1.828467E-15
3.6331522237  1.875404E-15
3.6333061226  1.893311E-15
3.6334600215  1.903703E-15
3.6336139204  1.932255E-15
3.6337678193  1.960681E-15
3.6339217182  1.944965E-15
3.6340756171  1.835342E-15
3.634229516  1.667855E-15
3.6343834149  1.549616E-15
3.6345373138  1.545453E-15
3.6346912127  1.633395E-15
3.6348451116  1.645994E-15
3.6349990105  1.617964E-15
3.6351529094  1.631438E-15
3.6353068083  1.719180E-15
3.6354607072  1.805848E-15
3.6356146061  1.763493E-15
3.635768505  1.605414E-15
3.6359224039  1.437198E-15
3.6360763028  1.355688E-15
3.6362302017  1.362993E-15
3.6363841006  1.383444E-15
3.6365379995  1.316103E-15
3.6366918984  1.318801E-15
3.6368457973  1.343344E-15
3.6369996962  1.260899E-15
3.6371535951  1.133418E-15
3.637307494  1.052308E-15
3.6374613929  1.191439E-15
3.6376152918  1.005805E-15
3.6377691907  9.667329E-16
3.6379230896  9.611512E-16
3.6380769885  9.386914E-16
3.6382308874  8.940378E-16
3.6383847863  8.213426E-16
3.6385386852  7.765560E-16
3.6386925841  7.765560E-16
3.638846483  7.878523E-16
3.6390003819  7.934340E-16
3.6391542808  8.157609E-16
3.6393081797  8.436694E-16
3.6394620786  8.772926E-16
3.6396159775  9.052010E-16
3.6397698764  9.498549E-16
3.6399237753  1.022550E-15
3.6400776742  1.050591E-15
3.6402315731  1.061755E-15
3.640385472  1.117572E-15
3.6405393709  1.162359E-15
3.6406932698  1.162359E-15
3.6408471687  1.190668E-15
3.6410010676  1.172821E-15
3.6411549665  1.168986E-15
3.6413088654  1.222661E-15
3.6414627643  1.332101E-15
3.6416166632  1.516820E-15
3.6417705621  1.740994E-15
3.641924461  1.900366E-15
3.6420783599  1.900187E-15
3.6422322588  1.737812E-15
3.6423861577  1.542069E-15
3.6425400566  1.372483E-15
3.6426939555  1.261725E-15
3.6428478544  1.226925E-15
3.6430017533  1.253048E-15
3.6431556522  1.298173E-15
3.6433095511  1.302549E-15
3.64346345  1.258980E-15
3.6436173489  1.192123E-15
3.6437712478  1.146640E-15
3.6439251467  1.150606E-15
3.6440790456  1.210033E-15
3.6442329445  1.305405E-15
3.6443868434  1.459200E-15
3.6445407423  1.683023E-15
3.6446946412  1.916331E-15
3.6448485401  2.114615E-15
3.645002439  2.229350E-15
3.6451563379  2.173778E-15
3.6453102368  1.941467E-15
3.6454641357  1.599711E-15
3.6456180346  1.274645E-15
3.6457719335  1.040890E-15
3.6459258324  9.172782E-16
3.6460797313  8.637054E-16
3.6462336302  8.373042E-16
3.6463875291  8.064316E-16
3.646541428  7.741048E-16
3.6466953269  7.459063E-16
3.6468492258  7.240496E-16
3.6470031247  7.119986E-16
3.6471570236  7.077108E-16
3.6473109225  7.325797E-16
3.6474648214  8.979799E-16
3.6476187203  1.121500E-15
3.6477726192  1.263200E-15
3.6479265181  1.317474E-15
3.648080417  1.331293E-15
3.6482343159  1.365946E-15
3.6483882148  1.435056E-15
3.6485421137  1.490284E-15
3.6486960126  1.474941E-15
3.6488499115  1.391955E-15
3.6490038104  1.315375E-15
3.6491577093  1.307846E-15
3.6493116082  1.311638E-15
3.6494655071  1.331492E-15
3.649619406  1.384866E-15
3.6497733049  1.451499E-15
3.6499272038  1.484607E-15
3.6500811027  1.469571E-15
3.6502350016  1.475550E-15
3.6503889005  1.509064E-15
3.6505427994  1.543035E-15
3.6506966983  1.533456E-15
3.6508505972  1.461613E-15
3.6510044961  1.339625E-15
3.651158395  1.211140E-15
3.6513122939  1.153339E-15
3.6514661928  1.199110E-15
3.6516200917  1.295711E-15
3.6517739906  1.449250E-15
3.6519278895  1.667206E-15
3.6520817884  1.943443E-15
3.6522356873  2.139504E-15
3.6523895862  2.163456E-15
3.6525434851  2.039066E-15
3.652697384  1.850161E-15
3.6528512829  1.669286E-15
3.6530051818  1.532097E-15
3.6531590807  1.483614E-15
3.6533129796  1.531129E-15
3.6534668785  1.647671E-15
3.6536207774  1.799809E-15
3.6537746763  1.990554E-15
3.6539285752  2.238797E-15
3.6540824741  2.397911E-15
3.654236373  2.462304E-15
3.6543902719  2.526197E-15
3.6545441708  2.645836E-15
3.6546980697  2.797021E-15
3.6548519686  2.893362E-15
3.6550058675  2.934406E-15
3.6551597664  2.892130E-15
3.6553136653  2.745852E-15
3.6554675642  2.520871E-15
3.6556214631  2.257902E-15
3.655775362  2.007918E-15
3.6559292609  1.825795E-15
3.6560831598  1.706872E-15
3.6562370587  1.638547E-15
3.6563909576  1.631780E-15
3.6565448565  1.668298E-15
3.6566987554  1.726133E-15
3.6568526543  1.789199E-15
3.6570065532  1.887279E-15
3.6571604521  2.007508E-15
3.657314351  2.092672E-15
3.6574682499  2.160256E-15
3.6576221488  2.259443E-15
3.6577760477  2.432976E-15
3.6579299466  2.603287E-15
3.6580838455  2.672234E-15
3.6582377444  2.597946E-15
3.6583916433  2.540478E-15
3.6585455422  2.526904E-15
3.6586994411  2.496873E-15
3.65885334  2.372908E-15
3.6590072389  2.183581E-15
3.6591611378  1.988545E-15
3.6593150367  1.815585E-15
3.6594689356  1.720324E-15
3.6596228345  1.717629E-15
3.6597767334  1.763934E-15
3.6599306323  1.819202E-15
3.6600845312  1.894816E-15
3.6602384301  2.042027E-15
3.660392329  2.201090E-15
3.6605462279  2.351381E-15
3.6607001268  2.510457E-15
3.6608540257  2.710042E-15
3.6610079246  2.901308E-15
3.6611618235  2.986897E-15
3.6613157224  2.870416E-15
3.6614696213  2.615321E-15
3.6616235202  2.344626E-15
3.6617774191  2.153598E-15
3.661931318  1.987962E-15
3.6620852169  1.814847E-15
3.6622391158  1.679773E-15
3.6623930147  1.561120E-15
3.6625469136  1.442822E-15
3.6627008125  1.327901E-15
3.6628547114  1.278476E-15
3.6630086103  1.265735E-15
3.6631625092  1.218258E-15
3.6633164081  1.117800E-15
3.663470307  1.043546E-15
3.6636242059  1.068674E-15
3.6637781048  1.169674E-15
3.6639320037  1.300307E-15
3.6640859026  1.455036E-15
3.6642398015  1.682393E-15
3.6643937004  1.881382E-15
3.6645475993  1.991521E-15
3.6647014982  2.026437E-15
3.6648553971  2.086829E-15
3.665009296  2.204734E-15
3.6651631949  2.362180E-15
3.6653170938  2.550395E-15
3.6654709927  2.681453E-15
3.6656248916  2.676590E-15
3.6657787905  2.528020E-15
3.6659326894  2.295815E-15
3.6660865883  2.028941E-15
3.6662404872  1.746187E-15
3.6663943861  1.546859E-15
3.666548285  1.406901E-15
3.6667021839  1.249521E-15
3.6668560828  1.131389E-15
3.6670099817  1.084352E-15
3.6671638806  1.091038E-15
3.6673177795  1.070443E-15
3.6674716784  1.097950E-15
3.6676255773  1.232188E-15
3.6677794762  1.448073E-15
3.6679333751  1.595500E-15
3.668087274  1.622911E-15
3.6682411729  1.583174E-15
3.6683950718  1.558975E-15
3.6685489707  1.586937E-15
3.6687028696  1.653623E-15
3.6688567685  1.708701E-15
3.6690106674  1.688891E-15
3.6691645663  1.571426E-15
3.6693184652  1.392536E-15
3.6694723641  1.180663E-15
3.669626263  9.998044E-16
3.6697801619  8.908845E-16
3.6699340608  7.565884E-16
3.6700879597  6.078082E-16
3.6702418586  4.940746E-16
3.6703957575  4.709647E-16
3.6705496564  4.788977E-16
3.6707035553  4.551890E-16
3.6708574542  3.923201E-16
3.6710113531  3.381726E-16
3.671165252  2.955150E-16
3.6713191509  2.567754E-16
3.6714730498  2.782740E-16
3.6716269487  3.823747E-16
3.6717808476  5.133306E-16
3.6719347465  5.662674E-16
3.6720886454  5.294958E-16
3.6722425443  4.626090E-16
3.6723964432  4.422011E-16
3.6725503421  4.223676E-16
3.672704241  4.032299E-16
3.6728581399  4.007694E-16
3.6730120388  4.227237E-16
3.6731659377  3.978738E-16
3.6733198366  3.276306E-16
3.6734737355  2.946406E-16
3.6736276344  3.505365E-16
3.6737815333  4.383454E-16
3.6739354322  4.736074E-16
3.6740893311  4.812030E-16
3.67424323  5.215830E-16
3.6743971289  6.310988E-16
3.6745510278  8.032010E-16
3.6747049267  9.333841E-16
3.6748588256  9.686989E-16
3.6750127245  9.417975E-16
3.6751666234  8.742219E-16
3.6753205223  7.585726E-16
3.6754744212  6.063224E-16
3.6756283201  4.411259E-16
3.675782219  2.885547E-16
3.6759361179  1.813694E-16
3.6760900168  1.404696E-16
3.6762439157  1.030165E-16
3.6763978146  7.430761E-17
3.6765517135  7.340888E-17
3.6767056124  7.203155E-17
3.6768595113  2.164958E-17
3.6770134102  -2.480165E-18
3.6771673091  9.001133E-17
3.677321208  2.183785E-16
3.6774751069  2.599711E-16
3.6776290058  2.360815E-16
3.6777829047  3.268512E-16
3.6779368036  3.963577E-16
3.6780907025  3.704167E-16
3.6782446014  2.707253E-16
3.6783985003  1.893876E-16
3.6785523992  1.553490E-16
3.6787062981  1.779330E-16
3.678860197  2.391096E-16
3.6790140959  3.134085E-16
3.6791679948  3.613691E-16
3.6793218937  3.775054E-16
3.6794757926  3.707562E-16
3.6796296915  3.263994E-16
3.6797835904  2.703991E-16
3.6799374893  2.244536E-16
3.6800913882  2.038775E-16
3.6802452871  2.106482E-16
3.680399186  2.437063E-16
3.6805530849  2.722720E-16
3.6807069838  2.967110E-16
3.6808608827  3.455525E-16
3.6810147816  4.247217E-16
3.6811686805  4.728697E-16
3.6813225794  4.691320E-16
3.6814764783  4.474220E-16
3.6816303772  4.479915E-16
3.6817842761  4.571791E-16
3.681938175  4.966066E-16
3.6820920739  4.132132E-16
3.6822459728  4.132132E-16
3.6823998717  4.132132E-16
3.6825537706  3.964680E-16
3.6827076695  3.964680E-16
3.6828615684  4.132132E-16
3.6830154673  4.132132E-16
3.6831693662  4.132132E-16
3.6833232651  4.243765E-16
3.683477164  4.243765E-16
3.6836310629  4.243765E-16
3.6837849618  4.132132E-16
3.6839388607  4.132132E-16
3.6840927596  3.964680E-16
3.6842466585  3.853045E-16
3.6844005574  3.853045E-16
3.6845544563  3.853045E-16
3.6847083552  3.685594E-16
3.6848622541  3.685594E-16
3.685016153  3.685594E-16
3.6851700519  3.685594E-16
3.6853239508  3.573961E-16
3.6854778497  3.573961E-16
3.6856317486  3.685594E-16
3.6857856475  3.573961E-16
3.6859395464  3.685594E-16
3.6860934453  3.573961E-16
3.6862473442  3.685594E-16
3.6864012431  3.685594E-16
3.686555142  3.685594E-16
3.6867090409  3.853045E-16
3.6868629398  3.908862E-16
3.6870168387  4.803265E-16
3.6871707376  4.579997E-16
3.6873246365  4.970717E-16
3.6874785354  5.251132E-16
3.6876324343  5.641851E-16
3.6877863332  5.641851E-16
3.6879402321  6.032571E-16
3.688094131  5.920938E-16
3.6882480299  6.257170E-16
3.6884019288  6.815340E-16
3.6885558277  6.424621E-16
3.6887097266  7.151572E-16
3.6888636255  7.039938E-16
3.6890175244  8.269243E-16
3.6891714233  8.045975E-16
3.6893253222  7.990157E-16
3.6894792211  8.325060E-16
3.68963312  8.269243E-16
3.6897870189  8.828743E-16
3.6899409178  8.548329E-16
3.6900948167  8.715779E-16
3.6902487156  8.772926E-16
3.6904026145  9.038517E-16
3.6905565134  8.828743E-16
3.6907104123  1.041468E-15
3.6908643112  1.089367E-15
3.6910182101  1.137013E-15
3.691172109  1.218919E-15
3.6913260079  1.343183E-15
3.6914799068  1.474572E-15
3.6916338057  1.636165E-15
3.6917877046  1.882448E-15
3.6919416035  2.231662E-15
3.6920955024  2.602546E-15
3.6922494013  2.829090E-15
3.6924033002  2.784728E-15
3.6925571991  2.548541E-15
3.692711098  2.263103E-15
3.6928649969  2.057892E-15
3.6930188958  1.810923E-15
3.6931727947  1.334392E-15
3.6933266936  1.226254E-15
3.6934805925  1.134204E-15
3.6936344914  1.082134E-15
3.6937883903  9.940816E-16
3.6939422892  9.059339E-16
3.6940961881  8.619553E-16
3.694250087  8.459632E-16
3.6944039859  8.258776E-16
3.6945578848  8.138835E-16
3.6947117837  8.058873E-16
3.6948656826  7.898951E-16
3.6950195815  7.898951E-16
3.6951734804  7.538175E-16
3.6953273793  7.658115E-16
3.6954812782  7.338272E-16
3.6956351771  7.057455E-16
3.695789076  7.218330E-16
3.6959429749  6.897533E-16
3.6960968738  6.777592E-16
3.6962507727  6.617669E-16
3.6964046716  6.817572E-16
3.6965585705  6.937514E-16
3.6967124694  7.097436E-16
3.6968663683  7.218330E-16
3.6970202672  7.658115E-16
3.6971741661  8.058873E-16
3.697328065  8.258776E-16
3.6974819639  8.779475E-16
3.6976358628  9.059339E-16
3.6977897617  9.340156E-16
3.6979436606  9.980797E-16
3.6980975595  1.033237E-15
3.6982514584  1.056873E-15
3.6984053573  1.094803E-15
3.6985592562  1.161096E-15
3.6987131551  1.307750E-15
3.698867054  1.369316E-15
3.6990209529  1.383497E-15
3.6991748518  1.516083E-15
3.6993287507  1.572921E-15
3.6994826496  1.771800E-15
3.6996365485  1.951657E-15
3.6997904474  2.022677E-15
3.6999443463  2.074788E-15
3.7000982452  2.236345E-15
3.7002521441  2.392922E-15
3.700406043  2.520635E-15
3.7005599419  2.518265E-15
3.7007138408  2.352914E-15
3.7008677397  2.066589E-15
3.7010216386  1.755172E-15
3.7011755375  1.554318E-15
3.7013294364  1.461751E-15
3.7014833353  1.415726E-15
3.7016372342  1.362456E-15
3.7017911331  1.251964E-15
3.701945032  1.123191E-15
3.7020989309  1.013232E-15
3.7022528298  9.175014E-16
3.7024067287  8.659908E-16
3.7025606276  8.427863E-16
3.7027145265  8.093473E-16
3.7028684254  7.477189E-16
3.7030223243  6.848218E-16
3.7031762232  6.539226E-16
3.7033301221  6.497954E-16
3.703484021  6.366328E-16
3.7036379199  6.198236E-16
3.7037918188  5.352664E-16
3.7039457177  4.395074E-16
3.7040996166  4.261853E-16
3.7042535155  4.549492E-16
3.7044074144  4.322926E-16
3.7045613133  3.891986E-16
3.7047152122  4.167168E-16
3.7048691111  5.210579E-16
3.70502301  5.777622E-16
3.7051769089  5.377330E-16
3.7053308078  4.590704E-16
3.7054847067  4.439889E-16
3.7056386056  4.363584E-16
3.7057925045  4.056768E-16
3.7059464034  3.798444E-16
3.7061003023  4.063087E-16
3.7062542012  4.294018E-16
3.7064081001  4.342773E-16
3.706561999  3.962489E-16
3.7067158979  3.206995E-16
3.7068697968  3.373661E-16
3.7070236957  4.044948E-16
3.7071775946  4.708496E-16
3.7073314935  5.280612E-16
3.7074853924  5.975226E-16
3.7076392913  6.199177E-16
3.7077931902  5.983704E-16
3.7079470891  5.842398E-16
3.708100988  6.198495E-16
3.7082548869  6.710967E-16
3.7084087858  6.898347E-16
3.7085626847  6.658379E-16
3.7087165836  6.255259E-16
3.7088704825  5.685972E-16
3.7090243814  5.351860E-16
3.7091782803  5.988990E-16
3.7093321792  7.653033E-16
3.7094860781  8.823149E-16
3.709639977  8.930917E-16
3.7097938759  8.907361E-16
3.7099477748  9.554372E-16
3.7101016737  1.027571E-15
